GRIDODE,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
  172195,  31.133E-06,  31.133E-06,  31.133E-06,  31.133E-06,  31.133E-06,  30.689E-06,  30.307E-06,  29.600E-06,  29.359E-06,  30.185E-06,  30.335E-06,  30.256E-06,  30.949E-06,  31.059E-06,  30.271E-06,  30.947E-06,  31.146E-06,  31.133E-06,  31.344E-06,  30.930E-06,  31.133E-06,  31.133E-06,  31.133E-06,  31.133E-06
  172196,  31.133E-06,  31.133E-06,  31.133E-06,  31.133E-06,  31.133E-06,  30.689E-06,  30.307E-06,  29.600E-06,  29.359E-06,  30.185E-06,  30.335E-06,  30.256E-06,  30.949E-06,  31.059E-06,  30.271E-06,  30.947E-06,  31.146E-06,  31.133E-06,  31.344E-06,  30.930E-06,  31.133E-06,  31.133E-06,  31.133E-06,  31.133E-06
  172197, 205.460E-09, 205.460E-09, 205.460E-09, 205.460E-09, 205.460E-09, 215.931E-09, 280.813E-09, 285.018E-09, 416.842E-09, 305.101E-09, 226.830E-09, 224.341E-09, 205.460E-09, 237.730E-09, 252.920E-09, 225.457E-09, 205.460E-09, 205.374E-09, 224.599E-09, 205.460E-09, 214.987E-09, 236.185E-09, 205.460E-09, 205.460E-09
  172198, 205.460E-09, 205.460E-09, 205.460E-09, 205.460E-09, 205.460E-09, 215.931E-09, 280.813E-09, 285.018E-09, 416.842E-09, 305.101E-09, 226.830E-09, 224.341E-09, 205.460E-09, 237.730E-09, 252.920E-09, 225.457E-09, 205.460E-09, 205.374E-09, 224.599E-09, 205.460E-09, 214.987E-09, 236.185E-09, 205.460E-09, 205.460E-09
  172201,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.079E-06,  34.716E-06,  32.662E-06,  33.379E-06,  33.782E-06,  34.181E-06,  34.722E-06,  34.199E-06,  34.526E-06,  34.323E-06,  34.413E-06,  34.352E-06,  34.922E-06,  34.261E-06,  34.352E-06,  34.332E-06,  34.352E-06,  34.352E-06,  34.352E-06
  172202,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.079E-06,  34.716E-06,  32.662E-06,  33.379E-06,  33.782E-06,  34.181E-06,  34.722E-06,  34.199E-06,  34.526E-06,  34.323E-06,  34.413E-06,  34.352E-06,  34.922E-06,  34.261E-06,  34.352E-06,  34.332E-06,  34.352E-06,  34.352E-06,  34.352E-06
  173243,  51.613E-06,  51.613E-06,  51.613E-06,  51.613E-06,  51.613E-06,  51.364E-06,  49.667E-06,  46.885E-06,  47.795E-06,  48.032E-06,  50.164E-06,  51.034E-06,  50.097E-06,  51.197E-06,  50.783E-06,  49.857E-06,  50.255E-06,  50.699E-06,  51.893E-06,  51.613E-06,  51.655E-06,  51.613E-06,  51.613E-06,  51.613E-06
  173244,  51.613E-06,  51.613E-06,  51.613E-06,  51.613E-06,  51.613E-06,  51.364E-06,  49.667E-06,  46.885E-06,  47.795E-06,  48.032E-06,  50.164E-06,  51.034E-06,  50.097E-06,  51.197E-06,  50.783E-06,  49.857E-06,  50.255E-06,  50.699E-06,  51.893E-06,  51.613E-06,  51.655E-06,  51.613E-06,  51.613E-06,  51.613E-06
  173245, 105.371E-06, 105.335E-06, 105.371E-06, 105.159E-06, 105.189E-06, 104.828E-06, 101.449E-06,  95.237E-06,  93.336E-06,  96.505E-06, 102.587E-06, 103.371E-06, 102.690E-06, 103.911E-06, 102.329E-06, 104.046E-06, 103.843E-06, 104.738E-06, 104.463E-06, 104.714E-06, 104.903E-06, 105.817E-06, 105.064E-06, 105.371E-06
  173246, 137.973E-06, 137.763E-06, 137.973E-06, 137.973E-06, 137.973E-06, 136.310E-06, 134.141E-06, 128.900E-06, 129.816E-06, 133.072E-06, 130.843E-06, 136.163E-06, 138.362E-06, 136.140E-06, 135.952E-06, 135.199E-06, 137.512E-06, 136.383E-06, 137.299E-06, 137.933E-06, 137.608E-06, 137.659E-06, 137.785E-06, 138.223E-06
